"","ID","REGION","SUBREGION","COUNTRY","LOCATION","LAT","LON","MONTH","YEAR","DEPTH","SEVERITY_CODE","BLEACHING_SEVERITY","CORAL_FAMILY","CORAL_SPECIES","PERCENTAGE_AFFECTED","BLEACHING_DURATION","MORTALITY_CODE","MORTALITY","RECOVERY_CODE","RECOVERY","SURVEY_TYPE","SURVEY_AREA","WATER_TEMPERATURE","OTHER_FACTORS","REMARKS","SOURCE","REFERENCE_CODE","COUNTRY_CODE"
"1",7067,"","","France","Hermitage, Reunion",-21.22,55.22,4,2008,"6",0,"No Bleaching","","","","",NA,"",NA,"","Reef Check Protocol","","","","0% of recorded Recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Harold Cambert. Site ID  55.13.17.8E.21.13.17.8S",NA,"FRA"
"2",7068,"","","France","Saint Gilles, Reunion",-21.05,55.23,7,2008,"6.5",0,"No Bleaching","","","","",NA,"",NA,"","Reef Check Protocol","","","","0% of recorded Recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Harold Cambert. Site ID : -55.13.30.26E.21.2.44.03S",NA,"FRA"
"3",7069,"","","France","Saint-Leu, Reunion",-21.16,55.28,2,2008,"6",0,"No Bleaching","","","","",NA,"",NA,"","Reef Check Protocol","","","","0% of recorded Recently killed coral on substrate is result of bleaching","Reef Check, Submitted by Harold Cambert . Site ID: 55.17.05.1E.21.09.50.6S",NA,"FRA"
"4",4024,"","","France","SE France",43,5,8,1999,"",-1,"Severity Unknown","","Cladocora caespitosa, Oculina patagonensis","","",NA,"",NA,"","Diving","100 km","22-23.9 °C","","Bleaching of Cladocora caespitosa and Oculina patagonensis.
Above all, death of gorgonians (up to >75%), sponges, also bivalves, ascidians, bryozoansAttributed to high temperature, and perhaps pathogen.  See in Perez et al., 2000, Mortalité massive d'invertébrés marins: un évenement sans précédent en Méditérranée nord-occidentale, CR Acad Sci Paris, Life Sci, 323, 853-865.","Martin Pêcheux (martin-pecheux@wanadoo.fr) personal communication to ReefBase",NA,"FRA"
"5",7049,"","","Macau","Koh Tao, Surat Thani",10.12,99.81,7,2009,"4",0,"No Bleaching","","","","",NA,"",NA,"","Reef Check Protocol","","Air temp 28 Deg C, Water temp 29 Deg C","","0% of recorded recently killed coral on substrate is result of bleaching; Coral disease was white band on one large table coral","Reef check submitted by Suchana Apple Chavanich. Site ID :  99.48.51E.10.07.06N",NA,"MAC"
"6",7274,"","","Mauritania","St. Brandons, Mauritius",-16.63333,59.63333,4,2010,"10 m",-1,"Severity Unknown","","acropora sp. , pocillopora sp.","","",NA,"",NA,"","","","","","% live coral bleached - 7%","Report submitted by Dr. Jerker Tamelander, IUCN. 
Source of data: David Obura, Cordio",NA,"MRT"
"7",2664,"","","Mexico (Pacific)","Tijera and Mazunte, Oaxaca",16,-95,5,1998,"",3,"HIGH","","Pocillopora,Pavona and Porites","","",3,"Coral cover reduced form ~48% to < 5% after El Nino (Dec 1998)",NA,"","10 and 20 m long transect","","","","In spring and summer 1998, when the anti-El Niño event was present in the eastern Pacific, corals remained in good condition in Oaxaca, although surface temperature was noticeably lower than normal, especially in May. However, after high wind intensities and coastal upwelling caused further sea surface temperature reductions during autumn 1998, we observed widespread bleaching in the reef tract, but mortality only occurred in the two most northern reefs of the area: Tijera and Mazunte. Pocillopora was the most affected genus, although Pavona and Porites were impacted, too. In normal years, northern winds cross the Gulf of México and increase their speed when passing through the Tehuantepec Isthmus. They displace surface water and produce strong upwellings that affect an area of about 200X500 km in the Gulf of Tehuantepec.","Reyes-Bonilla, et al 2002.  Effects of the El Niño-Southern Oscillation and the anti-El Niño event (1997-1999) on coral reefs of the western coast of México.",13432,"MEX_PAC"
"8",2559,"","","Panama (Atlantic)","Cayos Zapatilla A, Archipielago de Bocas del Toro",9.2723,-82.0065,6,2002,"12m",2,"Medium","Acroporidae, Poritidae","Acropora palmata, Porites astreoides","23%","",NA,"",NA,"","","","unusually warm","salinity was unusually low, extreme low tidesin early June","Live stony coral cover 28%.  
23% of stony coral (>10 cm diameter) pale to completely  bleached","Coral List:30/7/2002: Marilyn Brandt",NA,"PAN_ATL"
"9",823,"","","St. Croix","Buck Island, US Virgin Islands",17.79,-64.63,NA,1998,"",2,"Medium","","","","",NA,"",0,"all corals recovered","","","","","bleaching","GCRMN 2000. Chapter 14",0,"VIR_CRO"
"10",3975,"","","St. Croix","Cane Bay",17.684,-64.739,9,1987,"8-10m",1,"Low","","Colpophyllia natans, Diploria labyrinthiformis, Montastraea annularis, Porites astreoides, Stephanocoenia intersepta,  Agaricia tenuifolia, Leptoseris cucullata, Millepora alcicornis, Acropora cervicornis, A . palmata, Porites porites","30%","Start of mass bleaching mid Sept 1987",1,"0.9% of coral cover was just dead.  >25% D. labyrinthiformis dead.",NA,"Recovery start by Oct-Nov. 1987","5 transect, 20 m meter long, point count data","","","","23.2% of coral cover was pale, 5.8% bleached (3 minth after bleaching start)
Five of the scleractinian corals that exhibited prolonged bleaching have predominantly massive morphologies  (Colpophyllia natans, Diploria labyrinthiformis, the ""Montastraea annularis complex,"" Porites astreoides, Stephanocoenia intersepta) and three are foliaceous (the ""Agaricia agaricites complex,""  A . tenuifolia, Leptoseris cucullata [=Helioseris cucullata]) . The milleporan, M. alcicornis, is primarily an encrusting coral. Several of the rapidly growing, branching taxa (Acropora cervicornis, A . palmata,Porites porites, ""finger Porites""), which are known to have been affected by the mass bleaching event at these sites are presumed to have mostly recovered before the point-count surveys began. 
Diploria labyrinthiformis was considered a good indicator of prolonged bleaching at 8-10 m at this site","Lang, J.C., H.R. Lasker, E.H. Gladfelter, P. Hallock, W.C. Jaap, F.J. Losada and R.G. Muller, 1992.  Spatial and Temporal Variability during Periods of ""Recovery"" after Mass Bleaching on Western Atlantic Coral Reefs Amer. Zool. 32:696-706",6456,"VIR_CRO"
